common_name,conv_dtg,conv_dtm,latin_name,cultivar,native_to
Amish Deer Tongue lettuce,6-7,50-55,,,
Anise,20-28,120-130,Pimpinella Anisum,,Europe
Arugula,5-7,55-60,Eruca sativa,,Mediterranean
Arugula 'Astro',5-7,40,,cv. astro var. sativa,Mediterranean
Baby Oakleaf lettuce,8,36-50,,,
Basil 'Caesar',12-18,75,,cv. caesar,India
Bok choi 'Joi choi',7-10,50,,cv. joi choi sub. chinensis,India/China
Broccoli Purple Sprouting,6,145-191,,var. italica,Italy
Catnip,7-10,75-85,,,Europe and southwestern to central Asia
Cilantro ,7-14,,,,Southern Europe and North Africa to southwestern Asia
Cotton UA48,4-9,130-160,Gossypium hirsutum L.,UA48,Central America
Cotton UA222,4-9,130-160,Gossypium hirsutum L.,UA222,Central America
Sage 'Green Culinary' ,4-9,80-90,,,Mediterranean
Cucumber 'Iznik',7,45-60-70,,cv. iznik,India
Kale 'Cavolo Nero Black Magic',5-10,45-60,,cv. cavolo nero black magic,Mediterranean
Lemon Balm,12-21,30-60,,,South-central Europeand the Mediterranean region
Lettuce Mesclun,6,40-73,,,Southern France
Mustard Mizuna,6-10,21-44,,,Japan
Onion 'Purplette',6-16,60,,cv. purplette,Central Asia
Onion,13,82,,cv. pearl drop,Central Asia
Parsley,12-28,80,Petroselinum crispum,cv. Italian dark green var. neapoliatnum,Mediterranean
Pima cotton,,,,,Western South America
Purly Chives,9,111-131,,,Europe
Romaine lettuce 'Parris Island Cos',7-14,68-75,,var. longifolia,
Spinach 'Whale',11,73,,cv. whale,Central and Southwestern Asia
Swiss Chard 'Fordhook Giant',7-14,60-137,Beta Vulgaris var. cicla,var. cicla,France
Swiss Chard 'Northern Lights',7-14,60,,cv. northern lights,France
Tarragon,7-14,70-90,,,
Thyme,10-20,180-200,,,Mediterranean
